"id";"nome";"email";"endereco";"datanascimento"
1;"Contato";"contato@contato.com.br";"R. teste 12345 cs123 ";"2020-05-01"
2;"Contato1";"contato1@contato.com.br";"R. teste1 12345 cs123 ";"2020-05-01"
3;"Contato2";"contato2@contato.com.br";"R. teste2 12345 cs123 ";"2020-05-01"
4;"joazinho";"teste@teste.com.br";"R. teste 1234";"1988-10-29"
5;"Mariazinha";"teste@teste.com.br";"R. teste 12345";"1992-03-26"
6;"zezim";"zezim@teste.com";"R. das esquinas 135";"1990-12-20"
7;"zezim";"zezim@teste.com";"R. das esquinas 135";"1990-12-20"
8;"joaquim";"joaquim@teste.com";"R. das esquinas 135";"1970-03-20"
9;"ze maria";"";"r. acula 123";"1990-01-01"
10;"ze das galinhas";"";"";"1950-07-02"
